mod,snr,n_symbols,n_frame_bits,scenario,crc_pass_rate,ber,clean_amc_acc,adv_amc_acc
BPSK,18,16,14,Clean+Oracle,1.0,0.0,0.984,0.256
BPSK,18,16,14,Clean+AMC,0.98,0.004286,0.984,0.256
BPSK,18,16,14,Adv+Oracle,1.0,0.0,0.984,0.256
BPSK,18,16,14,Adv+AMC,0.275,0.3525,0.984,0.256
QPSK,18,16,28,Clean+Oracle,1.0,0.0,0.994,0.01
QPSK,18,16,28,Clean+AMC,1.0,0.0,0.994,0.01
QPSK,18,16,28,Adv+Oracle,1.0,0.0,0.994,0.01
QPSK,18,16,28,Adv+AMC,0.02,0.469643,0.994,0.01
8PSK,18,16,42,Clean+Oracle,1.0,0.0,0.988,0.006
8PSK,18,16,42,Clean+AMC,0.985,0.002679,0.988,0.006
8PSK,18,16,42,Adv+Oracle,1.0,0.0,0.988,0.006
8PSK,18,16,42,Adv+AMC,0.005,0.50494,0.988,0.006
QAM16,18,16,56,Clean+Oracle,0.995,8.9e-05,0.952,0.016
QAM16,18,16,56,Clean+AMC,0.965,0.012292,0.952,0.016
QAM16,18,16,56,Adv+Oracle,0.995,8.9e-05,0.952,0.016
QAM16,18,16,56,Adv+AMC,0.01,0.470565,0.952,0.016
QAM64,18,16,84,Clean+Oracle,0.97,0.000774,0.95,0.012
QAM64,18,16,84,Clean+AMC,0.915,0.017649,0.95,0.012
QAM64,18,16,84,Adv+Oracle,0.795,0.005714,0.95,0.012
QAM64,18,16,84,Adv+AMC,0.01,0.46756,0.95,0.012
PAM4,18,16,28,Clean+Oracle,1.0,0.0,0.99,0.02
PAM4,18,16,28,Clean+AMC,0.99,0.0,0.99,0.02
PAM4,18,16,28,Adv+Oracle,0.825,0.01125,0.99,0.02
PAM4,18,16,28,Adv+AMC,0.035,0.457679,0.99,0.02
BPSK,18,64,62,Clean+Oracle,1.0,0.0,0.984,0.256
BPSK,18,64,62,Clean+AMC,0.98,0.004839,0.984,0.256
BPSK,18,64,62,Adv+Oracle,1.0,0.0,0.984,0.256
BPSK,18,64,62,Adv+AMC,0.265,0.359355,0.984,0.256
QPSK,18,64,124,Clean+Oracle,1.0,0.0,0.994,0.01
QPSK,18,64,124,Clean+AMC,1.0,0.0,0.994,0.01
QPSK,18,64,124,Adv+Oracle,1.0,0.0,0.994,0.01
QPSK,18,64,124,Adv+AMC,0.01,0.488911,0.994,0.01
8PSK,18,64,186,Clean+Oracle,1.0,0.0,0.988,0.006
8PSK,18,64,186,Clean+AMC,0.985,0.00246,0.988,0.006
8PSK,18,64,186,Adv+Oracle,1.0,0.0,0.988,0.006
8PSK,18,64,186,Adv+AMC,0.005,0.496116,0.988,0.006
QAM16,18,64,248,Clean+Oracle,1.0,0.0,0.952,0.016
QAM16,18,64,248,Clean+AMC,0.97,0.012164,0.952,0.016
QAM16,18,64,248,Adv+Oracle,1.0,0.0,0.952,0.016
QAM16,18,64,248,Adv+AMC,0.015,0.489388,0.952,0.016
QAM64,18,64,372,Clean+Oracle,0.88,0.003185,0.95,0.012
QAM64,18,64,372,Clean+AMC,0.825,0.020121,0.95,0.012
QAM64,18,64,372,Adv+Oracle,0.785,0.003616,0.95,0.012
QAM64,18,64,372,Adv+AMC,0.005,0.4792,0.95,0.012
PAM4,18,64,124,Clean+Oracle,1.0,0.0,0.99,0.02
PAM4,18,64,124,Clean+AMC,0.99,0.0,0.99,0.02
PAM4,18,64,124,Adv+Oracle,0.93,0.000685,0.99,0.02
PAM4,18,64,124,Adv+AMC,0.035,0.479234,0.99,0.02
BPSK,18,128,126,Clean+Oracle,1.0,0.0,0.984,0.256
BPSK,18,128,126,Clean+AMC,0.98,0.005119,0.984,0.256
BPSK,18,128,126,Adv+Oracle,1.0,0.0,0.984,0.256
BPSK,18,128,126,Adv+AMC,0.28,0.36631,0.984,0.256
QPSK,18,128,252,Clean+Oracle,1.0,0.0,0.994,0.01
QPSK,18,128,252,Clean+AMC,1.0,0.0,0.994,0.01
QPSK,18,128,252,Adv+Oracle,1.0,0.0,0.994,0.01
QPSK,18,128,252,Adv+AMC,0.01,0.491706,0.994,0.01
8PSK,18,128,378,Clean+Oracle,1.0,0.0,0.988,0.006
8PSK,18,128,378,Clean+AMC,0.985,0.002659,0.988,0.006
8PSK,18,128,378,Adv+Oracle,1.0,0.0,0.988,0.006
8PSK,18,128,378,Adv+AMC,0.005,0.494008,0.988,0.006
QAM16,18,128,504,Clean+Oracle,1.0,0.0,0.952,0.016
QAM16,18,128,504,Clean+AMC,0.97,0.012136,0.952,0.016
QAM16,18,128,504,Adv+Oracle,1.0,0.0,0.952,0.016
QAM16,18,128,504,Adv+AMC,0.02,0.489613,0.952,0.016
QAM64,18,128,756,Clean+Oracle,0.855,0.001898,0.95,0.012
QAM64,18,128,756,Clean+AMC,0.81,0.019064,0.95,0.012
QAM64,18,128,756,Adv+Oracle,0.775,0.002103,0.95,0.012
QAM64,18,128,756,Adv+AMC,0.02,0.483115,0.95,0.012
PAM4,18,128,252,Clean+Oracle,1.0,0.0,0.99,0.02
PAM4,18,128,252,Clean+AMC,0.99,0.0,0.99,0.02
PAM4,18,128,252,Adv+Oracle,0.91,0.000357,0.99,0.02
PAM4,18,128,252,Adv+AMC,0.03,0.475972,0.99,0.02
