mod,snr,scenario,amc_acc,crc_pass,n
BPSK,0,Clean+Oracle,0.982,0.998,500
BPSK,0,Clean+AMC,0.982,0.988,500
BPSK,0,Adv+Oracle,0.02,0.988,500
BPSK,0,Adv+AMC,0.02,0.026,500
BPSK,18,Clean+Oracle,0.986,1.0,500
BPSK,18,Clean+AMC,0.986,0.994,500
BPSK,18,Adv+Oracle,0.012,1.0,500
BPSK,18,Adv+AMC,0.012,0.022,500
QPSK,0,Clean+Oracle,0.962,0.792,500
QPSK,0,Clean+AMC,0.962,0.766,500
QPSK,0,Adv+Oracle,0.034,0.776,500
QPSK,0,Adv+AMC,0.034,0.026,500
QPSK,18,Clean+Oracle,0.99,1.0,500
QPSK,18,Clean+AMC,0.99,0.988,500
QPSK,18,Adv+Oracle,0.01,1.0,500
QPSK,18,Adv+AMC,0.01,0.018,500
8PSK,0,Clean+Oracle,0.944,0.068,500
8PSK,0,Clean+AMC,0.944,0.064,500
8PSK,0,Adv+Oracle,0.042,0.058,500
8PSK,0,Adv+AMC,0.042,0.008,500
8PSK,18,Clean+Oracle,0.98,1.0,500
8PSK,18,Clean+AMC,0.98,0.98,500
8PSK,18,Adv+Oracle,0.03,1.0,500
8PSK,18,Adv+AMC,0.03,0.034,500
QAM16,0,Clean+Oracle,0.912,0.006,500
QAM16,0,Clean+AMC,0.912,0.008,500
QAM16,0,Adv+Oracle,0.076,0.006,500
QAM16,0,Adv+AMC,0.076,0.002,500
QAM16,18,Clean+Oracle,0.954,1.0,500
QAM16,18,Clean+AMC,0.954,0.942,500
QAM16,18,Adv+Oracle,0.066,0.996,500
QAM16,18,Adv+AMC,0.066,0.072,500
QAM64,0,Clean+Oracle,0.934,0.002,500
QAM64,0,Clean+AMC,0.934,0.002,500
QAM64,0,Adv+Oracle,0.04,0.002,500
QAM64,0,Adv+AMC,0.04,0.002,500
QAM64,18,Clean+Oracle,0.946,0.956,500
QAM64,18,Clean+AMC,0.946,0.906,500
QAM64,18,Adv+Oracle,0.064,0.776,500
QAM64,18,Adv+AMC,0.064,0.054,500
PAM4,0,Clean+Oracle,0.988,0.226,500
PAM4,0,Clean+AMC,0.988,0.226,500
PAM4,0,Adv+Oracle,0.004,0.148,500
PAM4,0,Adv+AMC,0.004,0.01,500
PAM4,18,Clean+Oracle,0.992,1.0,500
PAM4,18,Clean+AMC,0.992,0.988,500
PAM4,18,Adv+Oracle,0.004,0.678,500
PAM4,18,Adv+AMC,0.004,0.014,500
GFSK,0,Clean+Oracle,0.98,0.058,500
GFSK,0,Clean+AMC,0.98,0.056,500
GFSK,0,Adv+Oracle,0.008,0.058,500
GFSK,0,Adv+AMC,0.008,0.0,500
GFSK,18,Clean+Oracle,1.0,0.994,500
GFSK,18,Clean+AMC,1.0,0.994,500
GFSK,18,Adv+Oracle,0.016,0.994,500
GFSK,18,Adv+AMC,0.016,0.016,500
CPFSK,0,Clean+Oracle,1.0,0.068,500
CPFSK,0,Clean+AMC,1.0,0.068,500
CPFSK,0,Adv+Oracle,0.008,0.068,500
CPFSK,0,Adv+AMC,0.008,0.004,500
CPFSK,18,Clean+Oracle,1.0,1.0,500
CPFSK,18,Clean+AMC,1.0,1.0,500
CPFSK,18,Adv+Oracle,0.004,1.0,500
CPFSK,18,Adv+AMC,0.004,0.006,500
