mod,snr,scenario,crc_pass_rate
BPSK,10,Clean+Oracle,1.0
BPSK,10,Clean+AMC,0.98
BPSK,10,Adv+Oracle,1.0
BPSK,10,Adv+AMC,0.3
QPSK,10,Clean+Oracle,1.0
QPSK,10,Clean+AMC,0.995
QPSK,10,Adv+Oracle,1.0
QPSK,10,Adv+AMC,0.02
8PSK,10,Clean+Oracle,0.995
8PSK,10,Clean+AMC,0.975
8PSK,10,Adv+Oracle,0.985
8PSK,10,Adv+AMC,0.0
QAM16,10,Clean+Oracle,0.92
QAM16,10,Clean+AMC,0.88
QAM16,10,Adv+Oracle,0.905
QAM16,10,Adv+AMC,0.015
QAM64,10,Clean+Oracle,0.075
QAM64,10,Clean+AMC,0.06
QAM64,10,Adv+Oracle,0.05
QAM64,10,Adv+AMC,0.015
PAM4,10,Clean+Oracle,1.0
PAM4,10,Clean+AMC,0.99
PAM4,10,Adv+Oracle,0.74
PAM4,10,Adv+AMC,0.015
CPFSK,10,Clean+Oracle,0.97
CPFSK,10,Clean+AMC,0.97
CPFSK,10,Adv+Oracle,0.97
CPFSK,10,Adv+AMC,0.075
GFSK,10,Clean+Oracle,0.82
GFSK,10,Clean+AMC,0.82
GFSK,10,Adv+Oracle,0.82
GFSK,10,Adv+AMC,0.0
